  207 1936  jul    25    17.4    65.1     1.9     -.7    -1.8   927.4      .0
  208 1936  jul    26    14.8    72.9     4.8     4.4    -1.8   927.3      .0
  209 1936  jul    27    11.9    91.3     3.5    -2.5     2.5   929.5      .0
  210 1936  jul    28    13.0    85.7     2.8    -2.0     2.0   928.5      .0
  211 1936  jul    29    13.9    76.5     4.7    -1.8     4.3   928.2      .0
  212 1936  jul    30    11.0    81.3     4.3    -3.1     3.1   932.0      .0
  213 1936  jul    31    13.2    80.8     4.1    -3.8    -1.6   931.8      .0
  214 1936  aug     1    16.3    64.1     4.0    -3.7    -1.5   930.5      .0
  215 1936  aug     2    15.9    61.5     2.9      .0    -2.9   928.0      .0
  216 1936  aug     3    17.3    56.6     4.7     3.3    -3.3   926.6      .0
  217 1936  aug     4    17.5    67.0     3.7     1.4    -3.4   926.3      .0
  218 1936  aug     5    17.0    78.5     5.8     4.1    -4.1   922.0     9.1
  219 1936  aug     6    10.4    79.6     5.8     5.4    -2.2   923.7     3.2
  220 1936  aug     7     9.8    79.7     1.3      .0    -1.3   925.9      .1
  221 1936  aug     8    11.2    89.8     1.8     1.7     -.7   927.8      .9
  222 1936  aug     9     5.8    92.2     3.7      .0     3.7   932.4      .4
  223 1936  aug    10     7.0    90.7     3.4      .0     3.4   933.4      .5
  224 1936  aug    11    11.5    94.0     4.1    -1.6     3.8   934.0      .5
  225 1936  aug    12    13.7    92.9     3.1    -1.2     2.8   932.5     2.8
  226 1936  aug    13    13.8    97.9     1.6    -1.5      .6   930.8     5.8
  227 1936  aug    14    17.3    87.7     2.0    -1.4     1.4   928.3      .0
  228 1936  aug    15    17.2    88.0     2.3      .0     2.3   927.7      .4
  229 1936  aug    16    14.7    93.5     4.0     2.8    -2.8   928.6    10.9
  230 1936  aug    17    12.3    88.3     2.4     -.9     2.2   930.0      .3
  231 1936  aug    18    13.7    87.2     4.0    -2.8     2.8   929.8      .0
  232 1936  aug    19    16.3    83.7     3.3    -3.1    -1.3   927.1      .0
  233 1936  aug    20    18.9    66.1     3.3    -1.3    -3.1   923.1      .0
  234 1936  aug    21    17.0    71.2     4.1     1.6    -3.8   924.5     4.1
  235 1936  aug    22    12.7    85.9     3.4    -3.2    -1.3   927.2    22.3
  236 1936  aug    23    11.5    96.6     3.5    -2.5     2.5   927.0     1.7
  237 1936  aug    24    11.3    98.0     3.7    -2.6     2.6   925.9      .0
  238 1936  aug    25    14.6    91.3     3.9    -3.6     1.5   925.2     6.1
  239 1936  aug    26    15.2    90.5     4.3    -3.0     3.0   924.6      .9
  240 1936  aug    27    16.1    89.5     4.7    -3.3     3.3   925.1     2.2
  241 1936  aug    28    17.0    89.5     5.5    -3.9    -3.9   922.1    11.9
  242 1936  aug    29    14.8    79.8     7.3     5.2    -5.2   922.1    27.7
  243 1936  aug    30    13.4    80.2     2.6    -1.8     1.8   927.9      .0
  244 1936  aug    31    13.3    81.7     1.9     -.7     1.8   930.2      .0
  245 1936  sep     1    16.9    64.7     1.8     -.7     1.7   928.6      .0
  246 1936  sep     2    14.0    82.7     1.3     -.5     1.2   925.8      .0
  247 1936  sep     3    16.8    73.3     1.1      .0    -1.1   923.7      .0
  248 1936  sep     4    20.1    60.3     3.2    -1.2    -3.0   922.8      .0
  249 1936  sep     5    19.0    71.6     2.6    -1.0    -2.4   923.0      .0
  250 1936  sep     6    14.8    95.3     3.4    -2.4     2.4   925.6      .3
  251 1936  sep     7    14.3    95.5     5.1    -3.6     3.6   926.6      .0
  252 1936  sep     8    14.9    96.1     1.8     1.3     1.3   926.6     5.1
  253 1936  sep     9    12.1    93.5     5.0      .0     5.0   931.8     1.6
  254 1936  sep    10    12.0    90.4     4.9    -4.5     1.9   931.4      .0
  255 1936  sep    11    12.9    95.3     3.5    -3.2    -1.3   926.9    18.5
  256 1936  sep    12    15.9    89.5     3.3      .0    -3.3   925.2     1.9
  257 1936  sep    13    14.1    91.7     3.0    -1.1     2.7   929.3      .3
  258 1936  sep    14    13.8    95.1     3.4    -2.4     2.4   929.3     3.7
  259 1936  sep    15    12.6    97.2     6.4    -4.5     4.5   929.9      .1
