"latitude","longitude","cep","casosAcumulados","casosRecuperados","casosRecuperados.1","casosAtivos","casosAtivos.1","ultimaNotificacao","ultimaNotificacao.1"
-22.9259129,-43.2584975,20561250,14,14,14,0,0,"07/07/2020","07/07/2020"
-22.9798963,-43.4942665,22785600,14,13,13,0,0,"21/07/2020","21/07/2020"
-22.8922855,-43.4318817,21765070,14,13,13,0,0,"08/07/2020","08/07/2020"
-22.8506856,-43.365214,21555500,14,13,13,0,0,"17/07/2020","17/07/2020"
-22.8829459,-43.2924088,20771002,14,12,12,1,1,"21/07/2020","21/07/2020"
-22.8953825,-43.2853353,20770290,14,13,13,0,0,"24/07/2020","24/07/2020"
-22.9804575,-43.2276629,22450080,14,13,13,1,1,"21/07/2020","21/07/2020"
-23.0086087,-43.4437002,22790701,14,13,13,0,0,"07/07/2020","07/07/2020"
-23.0181475,-43.471446,22790430,14,11,11,0,0,"16/07/2020","16/07/2020"
-22.9850288,-43.1924866,22081020,14,11,11,1,1,"27/07/2020","27/07/2020"
-22.8530198,-43.364996,21555260,14,13,13,0,0,"15/07/2020","15/07/2020"
-22.8803175,-43.2840635,20760110,14,11,11,1,1,"23/07/2020","23/07/2020"
-22.966066,-43.3409971,22753330,14,14,14,0,0,"27/06/2020","27/06/2020"
-22.9237114,-43.2137509,20261070,14,12,12,2,2,"21/07/2020","21/07/2020"
-22.8787173,-43.2747237,20760055,14,13,13,0,0,"30/05/2020","30/05/2020"
-22.9204674,-43.2675629,20560215,14,14,14,0,0,"17/07/2020","17/07/2020"
